consumer	workflow	applied_tag	applied_digest	applied_signer_sha	main_pin_sha	release_candidate_sha	observed_on
.github	publish-manifests	2.0.0	sha256:25f0dd36980ea4d10599de5332cc2d17635d1104c6a01f9a9e50b21ad2da87d6	be13607c908d9df5e392a8acd5d13fcf358202df	df7fd4f83edade31c121a9de563d9a7b9b1f900d	-	2026-09-26
ascoachingogvaner	publish-app	1.13.7	sha256:1016e41fe18dc25756b006d682eb5190d0cf261e47dc9fed042ab4891cd0acd1	a147ead8b8bc937fbfb1974e3698c7e32f95517d	3c3a6348b3e7aacc995ae49fc60032f95f70a779	df7fd4f83edade31c121a9de563d9a7b9b1f900d	2026-09-25
aws	publish-manifests	1.1.3	sha256:6ab289567549d674ddca31eb228e5f610951c9f3e1205f22fe9a0291ee8ceec6	b089a1b041cb86af22cdc57de58a4d7d258dcc32	ee4948f9372d00126a24ce30db288294b86568d1	-	2026-09-25
wedding-app	publish-app	1.15.14	sha256:cf4cdbf5f310f5567f83e1794dc5a1d293e5c0caa86bc918671ec507427e8203	3c3a6348b3e7aacc995ae49fc60032f95f70a779	3c3a6348b3e7aacc995ae49fc60032f95f70a779	df7fd4f83edade31c121a9de563d9a7b9b1f900d	2026-09-25
